   168	    0.632492  1242 
   169	    0.634736   154 
   170	    0.638312   106 
   171	    0.668368    66 
   172	    0.680604   162 
   173	    0.684548  1090 
   174	    0.684712   174 
   175	    0.685688  1090 
   176	    0.689104   162 
   177	    0.690084  1090 
   178	    0.692040  1090 
   179	    0.694004  1090 
   180	    0.694172   174 
   181	    0.694312   150 
   182	    0.695952  1090 
   183	    0.697908  1090 
   184	    0.698056   162 
   185	    0.699864  1090 
   186	    0.701500    66 
   187	    0.702068   174 
   188	    0.703980  1090 
   189	    0.704080   106 
   190	    0.704912   162 
   191	    0.705816  1090 
   192	    0.708760   150 
   193	    0.708984   174 
   194	    0.711772   162 
   195	    0.712892   142 
   196	    0.715984   174 
   197	    0.716568   158 
   198	    0.718628   162 
   199	    0.722572   174 
   200	    0.725488   162 
   201	    0.726140    66 
   202	    0.729404   174 
   203	    0.732344   162 
   204	    0.736728   174 
   205	    0.740844   162 
   206	    0.744908   174 
   207	    0.747704   162 
   208	    0.751896   174 
   209	    0.754564   162 
   210	    0.758484   174 
   211	    0.761420   162 
   212	    0.765508   174 
   213	    0.768276   162 
   214	    0.769512  1518 
   215	    0.770352   674 
   216	    0.772116   162 
   217	    0.772192    64 
   218	    0.772544   174 
   219	    0.775136   162 
   220	    0.775668    90 
   221	    0.779120   174 
   222	    0.779728   162 
   223	    0.781996   162 
   224	    0.783264    90 
   225	    0.785964   174 
   226	    0.788856   162 
   227	    0.792976   158 
   228	    0.793168   174 
   229	    0.795712   162 
   230	    0.799680   174 
   231	    0.802568   162 
   232	    0.806552   174 
   233	    0.809428   162 
   234	    0.813628   174 
   235	    0.817652  1518 
   236	    0.817928   162 
   237	    0.818232   206 
   238	    0.823064   174 
   239	    0.828068   162 
   240	    0.832296   174 
   241	    0.836568   162 
   242	    0.836724   158 
   243	    0.840776   174 
   244	    0.843428   162 
   245	    0.847488   174 
   246	    0.848008   630 
   247	    0.850288   162 
   248	    0.854232   174 
   249	    0.857144   162 
   250	    0.857228    66 
   251	    0.861320   174 
   252	    0.864004   162 
   253	    0.868008   174 
   254	    0.870860   162 
   255	    0.874896   174 
   256	    0.877720   162 
   257	    0.882112  1090 
   258	    0.882280   174 
   259	    0.886220   162 
   260	    0.886908    66 
   261	    0.890400   174 
   262	    0.893076   162 
   263	    0.897012   174 
   264	    0.899936   162 
   265	    0.904088   174 
   266	    0.906792   162 
   267	    0.910632  1090 
   268	    0.910944   174 
   269	    0.913652   162 
   270	    0.916292   150 
   271	    0.917660   174 
   272	    0.920512   162 
   273	    0.924468   174 
   274	    0.927368   162 
   275	    0.931532   174 
   276	    0.934228   162 
   277	    0.938196   174 
   278	    0.938304    98 
   279	    0.941084   162 
   280	    0.941976   150 
   281	    0.945072   174 
   282	    0.947944   162 
   283	    0.951392    94 
   284	    0.951968   174 
   285	    0.954800   162 
   286	    0.956040   150 
   287	    0.958736   174 
